file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
vocals_004,0.0,21.106,_mfa_corpus,-54.42945434628138,-55.87967972877698,7.005260322479818,11.287182907962386
vocals_005,0.0,21.105,_mfa_corpus,-55.793581241117955,-56.505225161848394,6.075788223749083,5.100996531356959
vocals_001,0.0,21.105,_mfa_corpus,-54.022741739696826,-58.43795478176063,5.840719166583286,5.310852042300937
vocals_003,0.0,21.106,_mfa_corpus,-53.50283485315017,-53.457558296822214,3.8844689955545535,0.7006947075774974
vocals_007,0.0,21.45575,_mfa_corpus,-48.73209241029823,-56.6669196104392,3.688423685220629,11.735629357275055
vocals,0.0,174.44575,_mfa_corpus,-56.15964459730582,,,7.951277130409238
vocals_002,0.0,21.106,_mfa_corpus,,,,
vocals_000,0.0,21.456,_mfa_corpus,,,,
vocals_006,0.0,21.106,_mfa_corpus,,,,
