file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
vocals,0.0,223.6604375,_mfa_corpus,-52.04827081284092,,,4.284172045130858
vocals_000,0.0,223.6604375,_mfa_corpus,,,,
