file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
vocals_003,0.0,21.106,_mfa_corpus,-53.18299606229275,-53.24482149620579,3.977271844637604,19.605132842095998
vocals_007,0.0,21.45575,_mfa_corpus,-49.820188723205966,-59.15199767218696,2.390890346399528,6.462231892594215
vocals_004,0.0,21.106,_mfa_corpus,,,,
vocals_002,0.0,21.106,_mfa_corpus,,,,
vocals_005,0.0,21.105,_mfa_corpus,,,,
vocals,0.0,174.44575,_mfa_corpus,-56.14370521639438,,,7.9429183117074995
vocals_001,0.0,21.105,_mfa_corpus,,,,
vocals_006,0.0,21.106,_mfa_corpus,,,,
vocals_000,0.0,21.456,_mfa_corpus,,,,
