file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
vocals_000,0.0,223.6604375,_mfa_corpus,,,,
vocals,0.0,223.6604375,_mfa_corpus,-51.944955512831974,,,4.249164904262614
